****在954475045发送比赛将在10分钟之后开始
****在952792192发送比赛将在10分钟之后开始
****在976813092发送比赛将在10分钟之后开始
****在1005680380发送比赛将在10分钟之后开始
****在863714537发送比赛将在10分钟之后开始
****在954475045发送每两题之间只有1分钟的时间回答
****在952792192发送每两题之间只有1分钟的时间回答
****在976813092发送每两题之间只有1分钟的时间回答
****在1005680380发送每两题之间只有1分钟的时间回答
****在863714537发送每两题之间只有1分钟的时间回答
 ***** 635691684风   在 群976813092 说了 机器人炸了我也不想管了。
****在954475045发送比赛将在10分钟之后开始
****在952792192发送比赛将在10分钟之后开始
****在976813092发送比赛将在10分钟之后开始
****在1005680380发送比赛将在10分钟之后开始
****在863714537发送比赛将在10分钟之后开始
****在954475045发送每两题之间只有1分钟的时间回答
****在952792192发送每两题之间只有1分钟的时间回答
****在976813092发送每两题之间只有1分钟的时间回答
****在1005680380发送每两题之间只有1分钟的时间回答
****在863714537发送每两题之间只有1分钟的时间回答
****在954475045发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在952792192发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在976813092发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在1005680380发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在863714537发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在954475045发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在952792192发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在976813092发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在1005680380发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在863714537发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
 ***** 1413445748岛起雾♡   在 群976813092 说了 [CQ:reply,id=371920724][CQ:at,qq=2393097484] [CQ:at,qq=2393097484] [CQ:face,id=306][CQ:face,id=306]，我更想玩你了
****在954475045发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在952792192发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在976813092发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在1005680380发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在863714537发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在954475045发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在952792192发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在976813092发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在1005680380发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在863714537发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
 takepart 2937954408‮～喵‭   在 群954475045 说了 。
 takepart 3117274565楠七   在 群976813092 说了 [CQ:image,file=c0bfa192e5c78f4edbb551a24e85a84f.image]
 takepart 1184732187人类低质量Demo   在 群954475045 说了 作风优良
 takepart 3524805398是呐呐哦   在 群976813092 说了 [CQ:reply,id=-1468693653][CQ:at,qq=1480576455] [CQ:at,qq=1480576455] 🌿
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 能打胜仗
 takepart 317803349李老father   在 群863714537 说了 跟党做事
 takepart 3524805398是呐呐哦   在 群976813092 说了 算了呐
 takepart 635691684风   在 群976813092 说了 [CQ:image,file=c0bfa192e5c78f4edbb551a24e85a84f.image]
 takepart 635691684风   在 群976813092 说了 之后就是很好玩的 我什么都出的20题
****在954475045发送queshi
 takepart 1184732187人类低质量Demo   在 群954475045 说了 能打胜仗
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:image,file=3720efab1a71bbfa49592c966be7d849.image]
 takepart 2718417985🌿   在 群1005680380 说了 能打胜战
 takepart 1184732187人类低质量Demo   在 群954475045 说了 能打胜仗
 takepart 317803349李老father   在 群863714537 说了 作风优良
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 能打胜仗
 takepart 3524805398是呐呐哦   在 群976813092 说了 打会游戏
****在954475045发送1分钟到了，本次答案为：能打胜仗
第1名为自己获得5分
第2名为人类低质量Demo获得4分
第3名为🌿获得3分
****在952792192发送1分钟到了，本次答案为：能打胜仗
第1名为自己获得5分
第2名为人类低质量Demo获得4分
第3名为🌿获得3分
****在976813092发送1分钟到了，本次答案为：能打胜仗
第1名为自己获得5分
第2名为人类低质量Demo获得4分
第3名为🌿获得3分
****在1005680380发送1分钟到了，本次答案为：能打胜仗
第1名为自己获得5分
第2名为人类低质量Demo获得4分
第3名为🌿获得3分
****在863714537发送1分钟到了，本次答案为：能打胜仗
第1名为自己获得5分
第2名为人类低质量Demo获得4分
第3名为🌿获得3分
****在954475045发送	Q11、卡布奇诺的牛奶加奶沫的量是浓缩咖啡的几倍（2字数字大写）
****在952792192发送	Q11、卡布奇诺的牛奶加奶沫的量是浓缩咖啡的几倍（2字数字大写）
****在976813092发送	Q11、卡布奇诺的牛奶加奶沫的量是浓缩咖啡的几倍（2字数字大写）
****在1005680380发送	Q11、卡布奇诺的牛奶加奶沫的量是浓缩咖啡的几倍（2字数字大写）
****在863714537发送	Q11、卡布奇诺的牛奶加奶沫的量是浓缩咖啡的几倍（2字数字大写）
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 能打胜仗
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 ？？？？
 takepart 2937954408‮～喵‭   在 群954475045 说了 [CQ:reply,id=-1339262128][CQ:at,qq=1662403060] [CQ:at,qq=1662403060] 有啊
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 香风智乃！
 takepart 317803349李老father   在 群863714537 说了 十五
 takepart 1184732187人类低质量Demo   在 群954475045 说了 一倍
 takepart 317803349李老father   在 群863714537 说了 三倍
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 一
 takepart 2718417985🌿   在 群1005680380 说了 1
 takepart 2937954408‮～喵‭   在 群954475045 说了 移植骨髓
 takepart 317803349李老father   在 群863714537 说了 一倍
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 两倍
 takepart 2937954408‮～喵‭   在 群954475045 说了 [CQ:image,file=4c0da881188cbabf5695d61fbb83f467.image]
 takepart 1184732187人类低质量Demo   在 群954475045 说了 [CQ:reply,id=-1339262128][CQ:at,qq=1662403060] [CQ:at,qq=1662403060]  有
 takepart 317803349李老father   在 群863714537 说了 四倍
 takepart 315310152自己   在 群952792192 说了 二比一
 takepart 2718417985🌿   在 群1005680380 说了 一倍
 takepart 2937954408‮～喵‭   在 群954475045 说了 额
****在954475045发送1分钟到了，本次答案为：两倍
第1名为李老father获得5分
****在952792192发送1分钟到了，本次答案为：两倍
第1名为李老father获得5分
****在976813092发送1分钟到了，本次答案为：两倍
第1名为李老father获得5分
****在1005680380发送1分钟到了，本次答案为：两倍
第1名为李老father获得5分
****在863714537发送1分钟到了，本次答案为：两倍
第1名为李老father获得5分
****在954475045发送	Q12、《偷星九月天》中，路西法是谁？（2字）
****在952792192发送	Q12、《偷星九月天》中，路西法是谁？（2字）
****在976813092发送	Q12、《偷星九月天》中，路西法是谁？（2字）
****在1005680380发送	Q12、《偷星九月天》中，路西法是谁？（2字）
****在863714537发送	Q12、《偷星九月天》中，路西法是谁？（2字）
 takepart 315310152自己   在 群952792192 说了 二
 takepart 2937954408‮～喵‭   在 群954475045 说了 该不会……
 takepart 317803349李老father   在 群863714537 说了 法师
 takepart 317803349李老father   在 群863714537 说了 兄弟
 takepart 317803349李老father   在 群863714537 说了 师傅
 takepart 317803349李老father   在 群863714537 说了 老师
 takepart 317803349李老father   在 群863714537 说了 姐妹
 takepart 2937954408‮～喵‭   在 群954475045 说了 啊……
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 玄月
 takepart 317803349李老father   在 群863714537 说了 神仙
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 这个我懂。
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 玄月
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 玄月
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=ced6bda8b8a99bb27f603c317dfeabf3.image]
 takepart 2718417985🌿   在 群1005680380 说了 不懂
****在954475045发送1分钟到了，本次答案为：玄月
第1名为小刻，我的小刻！获得5分
第2名为自己获得4分
第3名为🌿获得3分
****在952792192发送1分钟到了，本次答案为：玄月
第1名为小刻，我的小刻！获得5分
第2名为自己获得4分
第3名为🌿获得3分
****在976813092发送1分钟到了，本次答案为：玄月
第1名为小刻，我的小刻！获得5分
第2名为自己获得4分
第3名为🌿获得3分
****在1005680380发送1分钟到了，本次答案为：玄月
第1名为小刻，我的小刻！获得5分
第2名为自己获得4分
第3名为🌿获得3分
****在863714537发送1分钟到了，本次答案为：玄月
第1名为小刻，我的小刻！获得5分
第2名为自己获得4分
第3名为🌿获得3分
****在954475045发送	Q13、《喜洋洋与灰太狼》中，胸前有铃铛的羊是谁（3字）
****在952792192发送	Q13、《喜洋洋与灰太狼》中，胸前有铃铛的羊是谁（3字）
****在976813092发送	Q13、《喜洋洋与灰太狼》中，胸前有铃铛的羊是谁（3字）
****在1005680380发送	Q13、《喜洋洋与灰太狼》中，胸前有铃铛的羊是谁（3字）
****在863714537发送	Q13、《喜洋洋与灰太狼》中，胸前有铃铛的羊是谁（3字）
 ***** 765712614周神小弟   在 群372502869 说了 你们想自己早点领先一步的
 takepart 1184732187人类低质量Demo   在 群954475045 说了 [CQ:reply,id=-1477656029][CQ:at,qq=1662403060] qwq
 takepart 315310152计算19曾炳辉   在 群372502869 说了 [CQ:image,file=903fda8cd215ed8847ea03ccd7a8ee80.image]
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 喜羊羊
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 喜羊羊
****在954475045发送queshi
 takepart 1184732187人类低质量Demo   在 群954475045 说了 喜羊羊
 takepart 317803349李老father   在 群863714537 说了 懒洋洋
 takepart 317803349李老father   在 群863714537 说了 沸羊羊
 takepart 317803349李老father   在 群863714537 说了 美羊羊
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 太离谱了这些问题。
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 喜羊羊
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=69319581135ce78f42b46797b5e02053.image]
 takepart 2703401354我是什么   在 群954475045 说了 咋了
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 喜羊羊
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 说好的都是跟风铃有关的呢？
 takepart 635691684塞西莉亚   在 群954475045 说了 咋了
 takepart 2718417985🌿   在 群1005680380 说了 哈哈哈
 takepart 635691684塞西莉亚   在 群954475045 说了 别猜了
 takepart 2718417985🌿   在 群1005680380 说了 太离谱了
 takepart 2937954408‮～喵‭   在 群954475045 说了 一时间不知道该说什么好
 takepart 635691684风   在 群976813092 说了 .
 takepart 2703401354我是什么   在 群954475045 说了 不是你那猜问题
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:image,file=4090d8b49868aaf970444bed328adb6a.image]
****在954475045发送1分钟到了，本次答案为：喜羊羊
第1名为🌿获得5分
第2名为小刻，我的小刻！获得4分
第3名为人类低质量Demo获得3分
****在952792192发送1分钟到了，本次答案为：喜羊羊
第1名为🌿获得5分
第2名为小刻，我的小刻！获得4分
第3名为人类低质量Demo获得3分
****在976813092发送1分钟到了，本次答案为：喜羊羊
第1名为🌿获得5分
第2名为小刻，我的小刻！获得4分
第3名为人类低质量Demo获得3分
****在1005680380发送1分钟到了，本次答案为：喜羊羊
第1名为🌿获得5分
第2名为小刻，我的小刻！获得4分
第3名为人类低质量Demo获得3分
****在863714537发送1分钟到了，本次答案为：喜羊羊
第1名为🌿获得5分
第2名为小刻，我的小刻！获得4分
第3名为人类低质量Demo获得3分
****在954475045发送	Q14、最活泼的金属元素是什么？（1字）
****在952792192发送	Q14、最活泼的金属元素是什么？（1字）
****在976813092发送	Q14、最活泼的金属元素是什么？（1字）
****在1005680380发送	Q14、最活泼的金属元素是什么？（1字）
****在863714537发送	Q14、最活泼的金属元素是什么？（1字）
 takepart 3524805398是呐呐哦   在 群976813092 说了 没有报名无法参加
 takepart 2703401354我是什么   在 群954475045 说了 我说纱世里的问题那人
 takepart 2703401354我是什么   在 群954475045 说了 我说纱世里的问题呢
****在976813092发送queshi
 takepart 635691684风   在 群976813092 说了 铯
 takepart 2703401354我是什么   在 群954475045 说了 [CQ:image,file=ac45331bc2e3a9e46a157333de09e608.image]
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 铯
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 刚学完化学的，我丝毫不慌
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=69319581135ce78f42b46797b5e02053.image]
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 铯
****在952792192发送queshi
 takepart 850419987时间会证明一切   在 群952792192 说了 铯
 takepart 317803349李老father   在 群863714537 说了 钫
 takepart 2429903694计算2014陈煜晗   在 群372502869 说了 tql
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 铯
****在954475045发送1分钟到了，本次答案为：铯
第1名为风获得5分
第2名为小刻，我的小刻！获得4分
第3名为自己获得3分
****在952792192发送1分钟到了，本次答案为：铯
第1名为风获得5分
第2名为小刻，我的小刻！获得4分
第3名为自己获得3分
****在976813092发送1分钟到了，本次答案为：铯
第1名为风获得5分
第2名为小刻，我的小刻！获得4分
第3名为自己获得3分
****在1005680380发送1分钟到了，本次答案为：铯
第1名为风获得5分
第2名为小刻，我的小刻！获得4分
第3名为自己获得3分
****在863714537发送1分钟到了，本次答案为：铯
第1名为风获得5分
第2名为小刻，我的小刻！获得4分
第3名为自己获得3分
****在954475045发送	Q15、三角形中S = √(p(p-a)(p-b)(p-c))是什么公式（4字）
****在952792192发送	Q15、三角形中S = √(p(p-a)(p-b)(p-c))是什么公式（4字）
****在976813092发送	Q15、三角形中S = √(p(p-a)(p-b)(p-c))是什么公式（4字）
****在1005680380发送	Q15、三角形中S = √(p(p-a)(p-b)(p-c))是什么公式（4字）
****在863714537发送	Q15、三角形中S = √(p(p-a)(p-b)(p-c))是什么公式（4字）
 takepart 2718417985🌿   在 群1005680380 说了 不知道的干活
 takepart 317803349李老father   在 群863714537 说了 好家伙
 takepart 317803349李老father   在 群863714537 说了 ……
 takepart 317803349李老father   在 群863714537 说了 [CQ:image,file=c7ce4460e96caf7522922fdc537f21f7.image]
 takepart 2718417985🌿   在 群1005680380 说了 。。。。
 takepart 3524805398是呐呐哦   在 群976813092 说了 [CQ:reply,id=136291994][CQ:at,qq=1003476916] [CQ:at,qq=1003476916] 要报名
****在954475045发送queshi
 takepart 1184732187人类低质量Demo   在 群954475045 说了 海伦公式
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 海伦公式
 takepart 3524805398是呐呐哦   在 群976813092 说了 现在已经在比赛阶段了
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 海伦公式
 takepart 850419987时间会证明一切   在 群952792192 说了 哇
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 我他妈学生乱杀
 takepart 850419987时间会证明一切   在 群952792192 说了 大佬
 takepart 3524805398是呐呐哦   在 群976813092 说了 也就是说无缘了
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 海伦公式
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:image,file=0acdb7c2bd8778f55ceda4e9c7169a01.image]
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
 takepart 850419987时间会证明一切   在 群952792192 说了 下一题
****在954475045发送1分钟到了，本次答案为：海伦公式
第1名为人类低质量Demo获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在952792192发送1分钟到了，本次答案为：海伦公式
第1名为人类低质量Demo获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在976813092发送1分钟到了，本次答案为：海伦公式
第1名为人类低质量Demo获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在1005680380发送1分钟到了，本次答案为：海伦公式
第1名为人类低质量Demo获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在863714537发送1分钟到了，本次答案为：海伦公式
第1名为人类低质量Demo获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在954475045发送	Q16、“停车坐爱枫林晚”下一句是什么？（7字）
****在952792192发送	Q16、“停车坐爱枫林晚”下一句是什么？（7字）
****在976813092发送	Q16、“停车坐爱枫林晚”下一句是什么？（7字）
****在1005680380发送	Q16、“停车坐爱枫林晚”下一句是什么？（7字）
****在863714537发送	Q16、“停车坐爱枫林晚”下一句是什么？（7字）
 takepart 315310152计算19曾炳辉   在 群372502869 说了 周大佬，我们训练室的人一至认为你可以AK校赛
 takepart 2429903694计算2014陈煜晗   在 群372502869 说了 周大佬，我们训练室的人一至认为你可以AK校赛
 takepart 317803349李老father   在 群863714537 说了 啧！
 takepart 317803349李老father   在 群863714537 说了 GG搜到
 takepart 2429903694计算2014陈煜晗   在 群372502869 说了 还没分么
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 霜叶红于二月花
 takepart 2429903694计算2014陈煜晗   在 群372502869 说了 应该分了吧
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 霜叶红于二月花
 takepart 317803349李老father   在 群863714537 说了 什么什么ban
 takepart 850419987时间会证明一切   在 群952792192 说了 呜呜
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 霜叶红于二月花
 takepart 850419987时间会证明一切   在 群952792192 说了 为什么你们这么剥削
 takepart 2718417985🌿   在 群1005680380 说了 打个句号干嘛
 takepart 2429903694计算2014陈煜晗   在 群372502869 说了 可能过几天就有了
 takepart 850419987时间会证明一切   在 群952792192 说了 博学
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 不懂
 takepart 2429903694计算2014陈煜晗   在 群372502869 说了 问你们班助额
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=e3e105d9f6f74e7785375702bfc4d08e.image]
 takepart 2429903694计算2014陈煜晗   在 群372502869 说了 我不懂
 takepart 315310152自己   在 群952792192 说了 这不是常识么。。。。。。。。。。。
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:face,id=178]
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 霜叶红于二月花
****在954475045发送1分钟到了，本次答案为：霜叶红于二月花
第1名为自己获得5分
第2名为🌿获得4分
第3名为小刻，我的小刻！获得3分
****在952792192发送1分钟到了，本次答案为：霜叶红于二月花
第1名为自己获得5分
第2名为🌿获得4分
第3名为小刻，我的小刻！获得3分
****在976813092发送1分钟到了，本次答案为：霜叶红于二月花
第1名为自己获得5分
第2名为🌿获得4分
第3名为小刻，我的小刻！获得3分
****在1005680380发送1分钟到了，本次答案为：霜叶红于二月花
第1名为自己获得5分
第2名为🌿获得4分
第3名为小刻，我的小刻！获得3分
****在863714537发送1分钟到了，本次答案为：霜叶红于二月花
第1名为自己获得5分
第2名为🌿获得4分
第3名为小刻，我的小刻！获得3分
****在954475045发送	Q17、9镑15便士是什么东西的价格？（2字）
****在952792192发送	Q17、9镑15便士是什么东西的价格？（2字）
****在976813092发送	Q17、9镑15便士是什么东西的价格？（2字）
****在1005680380发送	Q17、9镑15便士是什么东西的价格？（2字）
****在863714537发送	Q17、9镑15便士是什么东西的价格？（2字）
 takepart 850419987时间会证明一切   在 群952792192 说了 [CQ:image,file=f9d5404ed4f928d48152da956e5e5902.image]
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
****在952792192发送queshi
 takepart 850419987时间会证明一切   在 群952792192 说了 衬衫
 takepart 3524805398是呐呐哦   在 群976813092 说了 眼镜
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 衬衫
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 衬衫
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 衬衫
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:image,file=69fa8d1f2ccd7dd82c01f833e8ec4f5e.image]
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=e3e105d9f6f74e7785375702bfc4d08e.image]
 takepart 315310152自己   在 群952792192 说了 太经典了
 takepart 315310152自己   在 群952792192 说了 笑死
 takepart 850419987时间会证明一切   在 群952792192 说了 下一题
 takepart 850419987时间会证明一切   在 群952792192 说了 下一题
 takepart 850419987时间会证明一切   在 群952792192 说了 下一题
 takepart 635691684小小贝贝   在 群952792192 说了 何大佬你怎么了
****在954475045发送1分钟到了，本次答案为：衬衫
第1名为时间会证明一切获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在952792192发送1分钟到了，本次答案为：衬衫
第1名为时间会证明一切获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在976813092发送1分钟到了，本次答案为：衬衫
第1名为时间会证明一切获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在1005680380发送1分钟到了，本次答案为：衬衫
第1名为时间会证明一切获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在863714537发送1分钟到了，本次答案为：衬衫
第1名为时间会证明一切获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在954475045发送	Q18、《社会主义核心价值观》中，“法制”下一个是什么？（2字）
****在952792192发送	Q18、《社会主义核心价值观》中，“法制”下一个是什么？（2字）
****在976813092发送	Q18、《社会主义核心价值观》中，“法制”下一个是什么？（2字）
****在1005680380发送	Q18、《社会主义核心价值观》中，“法制”下一个是什么？（2字）
****在863714537发送	Q18、《社会主义核心价值观》中，“法制”下一个是什么？（2字）
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 现在风铃是真人接管吗？
 ***** 765712614周神小弟   在 群372502869 说了 我想看神仙打架了
 takepart 317803349李老father   在 群863714537 说了 啊啊啊
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 爱国
 takepart 2718417985🌿   在 群1005680380 说了 。。。
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 爱国
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 这道题挺简单的
 takepart 2718417985🌿   在 群1005680380 说了 专三没有
 takepart 850419987时间会证明一切   在 群952792192 说了 不懂啊
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 爱国
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=69319581135ce78f42b46797b5e02053.image]
 takepart 850419987时间会证明一切   在 群952792192 说了 我忘了
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 爱国
****在954475045发送queshi
 takepart 1184732187人类低质量Demo   在 群954475045 说了 爱国
 takepart 850419987时间会证明一切   在 群952792192 说了 &#91;呜呜&#93;
****在954475045发送1分钟到了，本次答案为：爱国
第1名为小刻，我的小刻！获得5分
第2名为🌿获得4分
第3名为李老father获得3分
****在952792192发送1分钟到了，本次答案为：爱国
第1名为小刻，我的小刻！获得5分
第2名为🌿获得4分
第3名为李老father获得3分
****在976813092发送1分钟到了，本次答案为：爱国
第1名为小刻，我的小刻！获得5分
第2名为🌿获得4分
第3名为李老father获得3分
****在1005680380发送1分钟到了，本次答案为：爱国
第1名为小刻，我的小刻！获得5分
第2名为🌿获得4分
第3名为李老father获得3分
****在863714537发送1分钟到了，本次答案为：爱国
第1名为小刻，我的小刻！获得5分
第2名为🌿获得4分
第3名为李老father获得3分
****在954475045发送	Q19、汉文帝和汉景帝统治时期出现的治世被称为什么？（4字）
****在952792192发送	Q19、汉文帝和汉景帝统治时期出现的治世被称为什么？（4字）
****在976813092发送	Q19、汉文帝和汉景帝统治时期出现的治世被称为什么？（4字）
****在1005680380发送	Q19、汉文帝和汉景帝统治时期出现的治世被称为什么？（4字）
****在863714537发送	Q19、汉文帝和汉景帝统治时期出现的治世被称为什么？（4字）
 takepart 850419987时间会证明一切   在 群952792192 说了 原来我不爱国
****在952792192发送queshi
 takepart 850419987时间会证明一切   在 群952792192 说了 文景之治
****在954475045发送queshi
 takepart 1184732187人类低质量Demo   在 群954475045 说了 文景之治
 takepart 850419987时间会证明一切   在 群952792192 说了 [CQ:image,file=f9d5404ed4f928d48152da956e5e5902.image]
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 文景之治
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 文景之治
 takepart 315310152计算19曾炳辉   在 群372502869 说了 给新生一点成长空间
 takepart 850419987时间会证明一切   在 群952792192 说了 我又爱国了
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 知道
2017年11月26日 — 文景之治是指中国西汉汉文帝、汉景帝统治时期。汉初,社会经济衰弱,朝廷推崇黄老治术,采取“轻徭薄赋”、“与民休息”的政策。 已赞过 已踩过<. 你对这个回答的评价是？
缺少字词： Q19、 ‎4
知道
2017年11月26日 — 文景之治是指中国西汉汉文帝、汉景帝统治时期。汉初,社会经济衰弱,朝廷推崇黄老治术,采取“轻徭薄赋”、“与民休息”的政策。 已赞过 已踩过<. 你对这个回答的评价是？
缺少字词： Q19、 ‎4

 takepart 315310152计算19曾炳辉   在 群372502869 说了 要不然筛出来的，新生后面几个都是十多分
 takepart 317803349李老father   在 群863714537 说了 [CQ:image,file=31bfeed507ecc083baea0564be791941.image]
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 文景之治
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 这道题应该是初中初二的时候出的
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:reply,id=-493106575][CQ:at,qq=2506039014] [CQ:at,qq=2506039014] 要没了
****在954475045发送1分钟到了，本次答案为：文景之治
第1名为时间会证明一切获得5分
第2名为人类低质量Demo获得4分
第3名为🌿获得3分
****在952792192发送1分钟到了，本次答案为：文景之治
第1名为时间会证明一切获得5分
第2名为人类低质量Demo获得4分
第3名为🌿获得3分
****在976813092发送1分钟到了，本次答案为：文景之治
第1名为时间会证明一切获得5分
第2名为人类低质量Demo获得4分
第3名为🌿获得3分
****在1005680380发送1分钟到了，本次答案为：文景之治
第1名为时间会证明一切获得5分
第2名为人类低质量Demo获得4分
第3名为🌿获得3分
****在863714537发送1分钟到了，本次答案为：文景之治
第1名为时间会证明一切获得5分
第2名为人类低质量Demo获得4分
第3名为🌿获得3分
****在954475045发送	Q20、羊驼是什么科的动物（3字）
****在952792192发送	Q20、羊驼是什么科的动物（3字）
****在976813092发送	Q20、羊驼是什么科的动物（3字）
****在1005680380发送	Q20、羊驼是什么科的动物（3字）
****在863714537发送	Q20、羊驼是什么科的动物（3字）
 takepart 3524805398是呐呐哦   在 群976813092 说了 [CQ:reply,id=-900640660][CQ:at,qq=916722178] [CQ:at,qq=916722178] 要报名
****在954475045发送queshi
 takepart 1184732187人类低质量Demo   在 群954475045 说了 骆驼科
 ***** 2506039014辞梦   在 群1005680380 说了 我刚刚看到你们答题才想起来
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 脯乳科
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 骆驼科
